PokerStars Tournament #2243779117, No Limit Hold'em
  306: illraiseyou8 (Canada), still playing
  307: immastarz1 (Belgium), still playing
  308: joey_aces90 (Germany), still playing
  309: jonesy1990 (United Kingdom), still playing
  310: julittto10 (Uruguay), still playing
  311: keselah (United Kingdom), still playing
  312: kijardi (Argentina), still playing
  313: kikasazv (Croatia), still playing
  314: kingalban (Switzerland), still playing
  315: korasidas77 (Greece), still playing
  316: krasark (Canada), still playing
  317: l3@tM@n (Brazil), still playing
  318: leafarcrim (Brazil), still playing
  319: ledigaonegao (Brazil), still playing
  320: leelo90 (Brazil), still playing
  321: legendalv (Latvia), still playing
  322: leoleal1 (Brazil), still playing
  323: lgburlamaqui (Brazil), still playing
  324: liova777 (Ukraine), still playing
  325: lnstigat0r (Canada), still playing
  326: loustros (Greece), still playing
  327: lucadavidson (Brazil), still playing
  328: lucky_get23 (Ukraine), still playing
  329: lunatrick (Netherlands), still playing
  330: m4gicmuv (Romania), still playing
  331: makaneiro (Brazil), still playing
  332: makanica77 (Serbia), still playing
  333: marcinhobm (Brazil), still playing
  334: marioSDL (United Kingdom), still playing
  335: mbb23 (Brazil), still playing
  336: mcabecao (Brazil), still playing
  337: mement_mori (United Kingdom), still playing
  338: michael23air (Germany), still playing
  339: miskidiski (Brazil), still playing
  340: mister771 (Brazil), still playing
  341: moldovanali1 (Romania), still playing
  342: momente07 (Brazil), still playing
  343: moondance29 (Bosnia and Herzegovina), still playing
  344: mozok911 (Ukraine), still playing
  345: mplestylo (Greece), still playing
  346: msz.ace (Canada), still playing
  347: naandy (Brazil), still playing
  348: nacho2390 (Argentina), still playing
  349: nanosi17 (Austria), still playing
  350: nardonkiller (Brazil), still playing
  351: naurelius (Finland), still playing
  352: nbzL (Brazil), still playing
  353: neverwin1965 (Canada), still playing
  354: noobieeeeee (Austria), still playing
  355: nrb1988 (Brazil), still playing
  356: oBwallwal (Canada), still playing
  357: operatorul08 (Romania), still playing
  358: oxide8888 (Brazil), still playing
  359: paok4zapre (Cyprus), still playing
  360: piccolowski (Malta), still playing
  361: pierre.s88 (Germany), still playing
  362: pitour (Czech Republic), still playing
  363: plangepaul (Romania), still playing
  364: povar weez (Russia), still playing
  365: pparrain42 (Belgium), still playing
  366: pycadasgalax (Brazil), still playing
  367: queijeiro (Brazil), still playing
  368: rHnN1 (Brazil), still playing
  369: ra$cal88 (Argentina), still playing
  370: radoslaw8 (Poland), still playing
  371: rafhaelpkm (Brazil), still playing
  372: raminnnn (Brazil), still playing
  373: redbat11 (Brazil), still playing
  374: rekop233 (Germany), still playing
  375: rematommy (Norway), still playing
